annotid	AnnotDesc	Interesting_genes_with_this_annotid	Interesting_genes_with_any_annotation	BG_with_annotid	BG_with_any_annotation	pvalue	p_adj_BH	Interesting_gene_ids
GO:0003735	structural constituent of ribosome	98	1178	184	9817	6.109755040437967e-43	1.51399729902e-39	Casia#c12210;Casia#c8742;Casia#c13815;Casia#c13965;Casia#c10309;Casia#c10933;Casia#c14828;Casia#c13687;Casia#c12406;Casia#c5693;Casia#c13839;Casia#c15715;Casia#c12086;Casia#c13300;Casia#c10500;Casia#c12011;Casia#c9727;Casia#c11301;Casia#c10710;Casia#c5380;Casia#c9590;Casia#c9618;Casia#c13525;Casia#c15755;Casia#c15616;Casia#c13440;Casia#c15615;Casia#c14714;Casia#c14713;Casia#c1630;Casia#c10624;Casia#c13906;Casia#c13238;Casia#c14905;Casia#c11656;Casia#c15328;Casia#c14974;Casia#c13496;Casia#c8226;Casia#c11512;Casia#c11503;Casia#c6242;Casia#c10216;Casia#c12977;Casia#c12095;Casia#c12486;Casia#c9961;Casia#c14270;Casia#c12462;Casia#c11266;Casia#c13114;Casia#c15474;Casia#c10407;Casia#c6202;Casia#c14793;Casia#c13688;Casia#c12565;Casia#c15563;Casia#c5825;Casia#c12583;Casia#c12102;Casia#c12033;Casia#c10354;Casia#c10094;Casia#c11106;Casia#c10270;Casia#c11459;Casia#c11811;Casia#c10688;Casia#c13266;Casia#c12558;Casia#c12394;Casia#c13907;Casia#c15824;Casia#c10824;Casia#c15307;Casia#c14990;Casia#c13239;Casia#c13107;Casia#c13108;Casia#c11259;Casia#c10807;Casia#c10042;Casia#c12950;Casia#c12181;Casia#c8058;Casia#c12215;Casia#c13926;Casia#c10375;Casia#c11736;Casia#c12507;Casia#c11398;Casia#c15229;Casia#c13355;Casia#c14177;Casia#c13808;Casia#c12262;Casia#c12386
GO:1901566	organonitrogen compound biosynthetic process	162	1178	452	9817	8.211890381500113e-42	1.01745321827e-38	Casia#c12210;Casia#c8742;Casia#c13815;Casia#c10309;Casia#c15493;Casia#c10933;Casia#c10938;Casia#c6418;Casia#c11232;Casia#c14828;Casia#c13687;Casia#c11847;Casia#c14139;Casia#c4639;Casia#c6028;Casia#c5580;Casia#c5587;Casia#c12406;Casia#c9212;Casia#c5693;Casia#c10200;Casia#c13839;Casia#c11274;Casia#c15715;Casia#c12086;Casia#c10500;Casia#c12011;Casia#c10803;Casia#c10474;Casia#c9727;Casia#c11301;Casia#c15506;Casia#c15507;Casia#c10710;Casia#c5380;Casia#c9590;Casia#c9618;Casia#c7970;Casia#c13525;Casia#c15755;Casia#c15616;Casia#c13440;Casia#c15615;Casia#c14714;Casia#c14713;Casia#c1630;Casia#c10624;Casia#c13906;Casia#c9347;Casia#c5981;Casia#c13238;Casia#c14905;Casia#c12569;Casia#c11656;Casia#c15328;Casia#c11009;Casia#c13496;Casia#c5340;Casia#c8226;Casia#c11512;Casia#c11503;Casia#c6242;Casia#c10216;Casia#c9061;Casia#c12977;Casia#c11057;Casia#c10674;Casia#c9267;Casia#c9266;Casia#c9265;Casia#c10746;Casia#c12095;Casia#c5226;Casia#c12486;Casia#c9961;Casia#c14270;Casia#c12462;Casia#c10961;Casia#c10345;Casia#c9538;Casia#c11266;Casia#c6729;Casia#c6728;Casia#c13114;Casia#c10686;Casia#c15474;Casia#c10407;Casia#c10565;Casia#c6202;Casia#c14793;Casia#c5544;Casia#c13688;Casia#c15602;Casia#c12565;Casia#c15563;Casia#c5825;Casia#c5942;Casia#c7000;Casia#c10145;Casia#c10146;Casia#c12583;Casia#c11721;Casia#c12102;Casia#c12730;Casia#c8038;Casia#c9407;Casia#c11036;Casia#c3300;Casia#c12237;Casia#c6840;Casia#c11106;Casia#c7409;Casia#c11582;Casia#c10270;Casia#c11459;Casia#c11811;Casia#c10688;Casia#c6577;Casia#c5497;Casia#c9637;Casia#c12558;Casia#c12252;Casia#c12394;Casia#c13907;Casia#c10956;Casia#c15824;Casia#c6052;Casia#c11098;Casia#c10789;Casia#c10824;Casia#c15307;Casia#c14990;Casia#c13239;Casia#c7492;Casia#c13107;Casia#c11855;Casia#c13108;Casia#c11259;Casia#c10807;Casia#c11521;Casia#c10042;Casia#c12950;Casia#c12181;Casia#c8058;Casia#c5298;Casia#c13926;Casia#c10375;Casia#c11736;Casia#c12507;Casia#c9198;Casia#c11398;Casia#c15229;Casia#c11163;Casia#c7997;Casia#c13355;Casia#c14177;Casia#c11093;Casia#c9971;Casia#c8948;Casia#c13808;Casia#c12262;Casia#c12386
GO:0005198	structural molecule activity	107	1178	227	9817	2.492115166562729e-40	2.05848712758e-37	Casia#c12210;Casia#c8742;Casia#c13815;Casia#c13965;Casia#c10309;Casia#c10933;Casia#c14828;Casia#c13687;Casia#c5996;Casia#c12406;Casia#c5693;Casia#c13839;Casia#c15715;Casia#c12086;Casia#c13300;Casia#c10500;Casia#c12011;Casia#c12154;Casia#c9727;Casia#c11301;Casia#c10710;Casia#c5380;Casia#c9590;Casia#c9618;Casia#c13525;Casia#c15755;Casia#c15616;Casia#c13440;Casia#c15615;Casia#c14714;Casia#c14713;Casia#c1630;Casia#c10624;Casia#c13906;Casia#c13238;Casia#c14905;Casia#c11656;Casia#c15328;Casia#c14974;Casia#c13496;Casia#c8226;Casia#c11512;Casia#c11503;Casia#c6242;Casia#c10216;Casia#c12977;Casia#c12095;Casia#c12486;Casia#c9961;Casia#c14270;Casia#c12462;Casia#c11266;Casia#c13114;Casia#c15474;Casia#c10407;Casia#c6202;Casia#c14793;Casia#c13688;Casia#c12565;Casia#c15563;Casia#c5825;Casia#c12583;Casia#c12102;Casia#c7983;Casia#c12033;Casia#c10354;Casia#c10094;Casia#c11106;Casia#c10270;Casia#c11459;Casia#c11811;Casia#c10688;Casia#c13266;Casia#c12558;Casia#c8640;Casia#c12394;Casia#c13907;Casia#c15824;Casia#c11090;Casia#c10824;Casia#c15307;Casia#c14990;Casia#c13239;Casia#c13107;Casia#c13108;Casia#c11259;Casia#c10807;Casia#c8934;Casia#c10042;Casia#c12950;Casia#c12181;Casia#c8058;Casia#c12215;Casia#c13926;Casia#c10375;Casia#c11736;Casia#c12507;Casia#c11398;Casia#c10864;Casia#c15229;Casia#c13355;Casia#c14773;Casia#c14177;Casia#c7188;Casia#c13808;Casia#c12262;Casia#c12386
GO:0005840	ribosome	88	1178	161	9817	8.246726870895773e-40	5.10884729652e-37	Casia#c12210;Casia#c8742;Casia#c13815;Casia#c10309;Casia#c10933;Casia#c14828;Casia#c13687;Casia#c9645;Casia#c12406;Casia#c5693;Casia#c13839;Casia#c15715;Casia#c13300;Casia#c10500;Casia#c12011;Casia#c9727;Casia#c11301;Casia#c10710;Casia#c5380;Casia#c9590;Casia#c9618;Casia#c13525;Casia#c15755;Casia#c13440;Casia#c14714;Casia#c14713;Casia#c1630;Casia#c10624;Casia#c13238;Casia#c14905;Casia#c11656;Casia#c15328;Casia#c14974;Casia#c8226;Casia#c11503;Casia#c6242;Casia#c10216;Casia#c12977;Casia#c12095;Casia#c12486;Casia#c9961;Casia#c14270;Casia#c12462;Casia#c11266;Casia#c13114;Casia#c15474;Casia#c10407;Casia#c6202;Casia#c14793;Casia#c13688;Casia#c12565;Casia#c15563;Casia#c5825;Casia#c12583;Casia#c12102;Casia#c12033;Casia#c10354;Casia#c11106;Casia#c10270;Casia#c11459;Casia#c11811;Casia#c10688;Casia#c12558;Casia#c12394;Casia#c15824;Casia#c10824;Casia#c15307;Casia#c14990;Casia#c13239;Casia#c13107;Casia#c13108;Casia#c11259;Casia#c10807;Casia#c10042;Casia#c12950;Casia#c12181;Casia#c8058;Casia#c12215;Casia#c13926;Casia#c10375;Casia#c11736;Casia#c12507;Casia#c11398;Casia#c15229;Casia#c13355;Casia#c14177;Casia#c13808;Casia#c12386
GO:0006412	translation	91	1178	182	9817	5.570312471184748e-37	2.76064686072e-34	Casia#c12210;Casia#c8742;Casia#c13815;Casia#c10309;Casia#c10933;Casia#c14828;Casia#c13687;Casia#c12406;Casia#c5693;Casia#c13839;Casia#c11274;Casia#c15715;Casia#c12086;Casia#c10500;Casia#c12011;Casia#c9727;Casia#c11301;Casia#c10710;Casia#c5380;Casia#c9590;Casia#c9618;Casia#c13525;Casia#c15755;Casia#c15616;Casia#c13440;Casia#c15615;Casia#c14714;Casia#c14713;Casia#c1630;Casia#c10624;Casia#c13906;Casia#c13238;Casia#c14905;Casia#c11656;Casia#c15328;Casia#c13496;Casia#c8226;Casia#c11512;Casia#c11503;Casia#c6242;Casia#c10216;Casia#c12977;Casia#c12095;Casia#c12486;Casia#c9961;Casia#c14270;Casia#c12462;Casia#c11266;Casia#c13114;Casia#c15474;Casia#c10407;Casia#c6202;Casia#c14793;Casia#c13688;Casia#c12565;Casia#c15563;Casia#c5825;Casia#c12583;Casia#c12102;Casia#c11106;Casia#c10270;Casia#c11459;Casia#c11811;Casia#c10688;Casia#c12558;Casia#c12394;Casia#c13907;Casia#c15824;Casia#c10824;Casia#c15307;Casia#c14990;Casia#c13239;Casia#c13107;Casia#c13108;Casia#c11259;Casia#c10807;Casia#c10042;Casia#c12950;Casia#c12181;Casia#c8058;Casia#c13926;Casia#c10375;Casia#c11736;Casia#c12507;Casia#c11398;Casia#c15229;Casia#c13355;Casia#c14177;Casia#c13808;Casia#c12262;Casia#c12386
GO:0043043	peptide biosynthetic process	91	1178	187	9817	9.114911820781622e-36	3.76445858198e-33	Casia#c12210;Casia#c8742;Casia#c13815;Casia#c10309;Casia#c10933;Casia#c14828;Casia#c13687;Casia#c12406;Casia#c5693;Casia#c13839;Casia#c11274;Casia#c15715;Casia#c12086;Casia#c10500;Casia#c12011;Casia#c9727;Casia#c11301;Casia#c10710;Casia#c5380;Casia#c9590;Casia#c9618;Casia#c13525;Casia#c15755;Casia#c15616;Casia#c13440;Casia#c15615;Casia#c14714;Casia#c14713;Casia#c1630;Casia#c10624;Casia#c13906;Casia#c13238;Casia#c14905;Casia#c11656;Casia#c15328;Casia#c13496;Casia#c8226;Casia#c11512;Casia#c11503;Casia#c6242;Casia#c10216;Casia#c12977;Casia#c12095;Casia#c12486;Casia#c9961;Casia#c14270;Casia#c12462;Casia#c11266;Casia#c13114;Casia#c15474;Casia#c10407;Casia#c6202;Casia#c14793;Casia#c13688;Casia#c12565;Casia#c15563;Casia#c5825;Casia#c12583;Casia#c12102;Casia#c11106;Casia#c10270;Casia#c11459;Casia#c11811;Casia#c10688;Casia#c12558;Casia#c12394;Casia#c13907;Casia#c15824;Casia#c10824;Casia#c15307;Casia#c14990;Casia#c13239;Casia#c13107;Casia#c13108;Casia#c11259;Casia#c10807;Casia#c10042;Casia#c12950;Casia#c12181;Casia#c8058;Casia#c13926;Casia#c10375;Casia#c11736;Casia#c12507;Casia#c11398;Casia#c15229;Casia#c13355;Casia#c14177;Casia#c13808;Casia#c12262;Casia#c12386
GO:0043604	amide biosynthetic process	95	1178	215	9817	5.412362145256396e-33	1.91597619942e-30	Casia#c12210;Casia#c8742;Casia#c13815;Casia#c10309;Casia#c10933;Casia#c14828;Casia#c13687;Casia#c12406;Casia#c5693;Casia#c13839;Casia#c11274;Casia#c15715;Casia#c12086;Casia#c10500;Casia#c12011;Casia#c10474;Casia#c9727;Casia#c11301;Casia#c10710;Casia#c5380;Casia#c9590;Casia#c9618;Casia#c13525;Casia#c15755;Casia#c15616;Casia#c13440;Casia#c15615;Casia#c14714;Casia#c14713;Casia#c1630;Casia#c10624;Casia#c13906;Casia#c13238;Casia#c14905;Casia#c11656;Casia#c15328;Casia#c13496;Casia#c8226;Casia#c11512;Casia#c11503;Casia#c6242;Casia#c10216;Casia#c12977;Casia#c12095;Casia#c12486;Casia#c9961;Casia#c14270;Casia#c12462;Casia#c9538;Casia#c11266;Casia#c13114;Casia#c15474;Casia#c10407;Casia#c6202;Casia#c14793;Casia#c5544;Casia#c13688;Casia#c12565;Casia#c15563;Casia#c5825;Casia#c12583;Casia#c12102;Casia#c11106;Casia#c10270;Casia#c11459;Casia#c11811;Casia#c10688;Casia#c12558;Casia#c12394;Casia#c13907;Casia#c15824;Casia#c11098;Casia#c10824;Casia#c15307;Casia#c14990;Casia#c13239;Casia#c13107;Casia#c13108;Casia#c11259;Casia#c10807;Casia#c10042;Casia#c12950;Casia#c12181;Casia#c8058;Casia#c13926;Casia#c10375;Casia#c11736;Casia#c12507;Casia#c11398;Casia#c15229;Casia#c13355;Casia#c14177;Casia#c13808;Casia#c12262;Casia#c12386
GO:0006518	peptide metabolic process	93	1178	208	9817	8.170946775290128e-33	2.53095076365e-30	Casia#c12210;Casia#c8742;Casia#c13815;Casia#c10309;Casia#c10933;Casia#c14828;Casia#c13687;Casia#c12406;Casia#c5693;Casia#c13839;Casia#c11274;Casia#c15715;Casia#c12086;Casia#c7857;Casia#c10500;Casia#c12011;Casia#c9727;Casia#c11301;Casia#c10710;Casia#c5380;Casia#c9590;Casia#c9618;Casia#c13525;Casia#c15755;Casia#c15616;Casia#c13440;Casia#c15615;Casia#c14714;Casia#c14713;Casia#c1630;Casia#c10624;Casia#c13906;Casia#c13238;Casia#c14905;Casia#c11656;Casia#c15328;Casia#c13496;Casia#c8226;Casia#c11512;Casia#c11503;Casia#c6242;Casia#c10216;Casia#c12977;Casia#c12095;Casia#c12486;Casia#c9961;Casia#c14270;Casia#c12462;Casia#c11266;Casia#c13114;Casia#c15474;Casia#c10407;Casia#c6202;Casia#c14793;Casia#c13688;Casia#c12565;Casia#c15563;Casia#c5825;Casia#c12583;Casia#c12102;Casia#c11106;Casia#c10270;Casia#c11459;Casia#c11811;Casia#c10688;Casia#c12558;Casia#c12394;Casia#c13907;Casia#c11786;Casia#c15824;Casia#c10824;Casia#c15307;Casia#c14990;Casia#c13239;Casia#c13107;Casia#c13108;Casia#c11259;Casia#c10807;Casia#c10042;Casia#c12950;Casia#c12181;Casia#c8058;Casia#c13926;Casia#c10375;Casia#c11736;Casia#c12507;Casia#c11398;Casia#c15229;Casia#c13355;Casia#c14177;Casia#c13808;Casia#c12262;Casia#c12386
GO:0043603	cellular amide metabolic process	102	1178	251	9817	1.3265514456435418e-31	3.65243831367e-29	Casia#c12210;Casia#c8742;Casia#c13815;Casia#c10309;Casia#c10933;Casia#c14828;Casia#c13687;Casia#c12406;Casia#c5693;Casia#c13839;Casia#c11274;Casia#c15715;Casia#c12086;Casia#c7857;Casia#c10500;Casia#c12011;Casia#c10474;Casia#c9727;Casia#c11301;Casia#c10710;Casia#c5380;Casia#c9590;Casia#c9618;Casia#c13525;Casia#c15755;Casia#c15616;Casia#c13440;Casia#c15615;Casia#c14714;Casia#c14713;Casia#c1630;Casia#c10624;Casia#c13906;Casia#c10549;Casia#c13238;Casia#c14905;Casia#c11656;Casia#c15328;Casia#c13496;Casia#c8226;Casia#c11512;Casia#c11503;Casia#c6242;Casia#c10216;Casia#c12977;Casia#c8960;Casia#c12095;Casia#c5226;Casia#c12486;Casia#c9961;Casia#c14270;Casia#c12462;Casia#c9538;Casia#c11266;Casia#c13114;Casia#c15474;Casia#c10407;Casia#c6202;Casia#c14793;Casia#c5544;Casia#c13688;Casia#c12565;Casia#c15563;Casia#c5825;Casia#c12583;Casia#c12102;Casia#c11106;Casia#c10270;Casia#c11459;Casia#c11811;Casia#c10688;Casia#c12558;Casia#c12394;Casia#c13907;Casia#c11786;Casia#c10956;Casia#c15824;Casia#c11098;Casia#c10824;Casia#c15307;Casia#c14990;Casia#c13239;Casia#c13107;Casia#c13108;Casia#c11259;Casia#c10807;Casia#c10042;Casia#c12950;Casia#c12181;Casia#c8058;Casia#c13926;Casia#c10375;Casia#c11736;Casia#c12507;Casia#c11398;Casia#c15229;Casia#c12789;Casia#c13355;Casia#c14177;Casia#c13808;Casia#c12262;Casia#c12386
GO:0044249	cellular biosynthetic process	218	1178	861	9817	7.463454615723614e-30	1.84764207231e-27	Casia#c12210;Casia#c8742;Casia#c12045;Casia#c13815;Casia#c14405;Casia#c10309;Casia#c15493;Casia#c10933;Casia#c10938;Casia#c8687;Casia#c6418;Casia#c11232;Casia#c14828;Casia#c9206;Casia#c13687;Casia#c11847;Casia#c14139;Casia#c7153;Casia#c11539;Casia#c4639;Casia#c6028;Casia#c5580;Casia#c5587;Casia#c7074;Casia#c10114;Casia#c12406;Casia#c9212;Casia#c5693;Casia#c10200;Casia#c13839;Casia#c6753;Casia#c11274;Casia#c15715;Casia#c12086;Casia#c8653;Casia#c14188;Casia#c13300;Casia#c11735;Casia#c10500;Casia#c12011;Casia#c10327;Casia#c6751;Casia#c15735;Casia#c10804;Casia#c10803;Casia#c10474;Casia#c5955;Casia#c9727;Casia#c11301;Casia#c15506;Casia#c15507;Casia#c10710;Casia#c5380;Casia#c9590;Casia#c9618;Casia#c9907;Casia#c7970;Casia#c13525;Casia#c15755;Casia#c15616;Casia#c13440;Casia#c15615;Casia#c14714;Casia#c14713;Casia#c1630;Casia#c10624;Casia#c13906;Casia#c9347;Casia#c5981;Casia#c13238;Casia#c14905;Casia#c12569;Casia#c11656;Casia#c9840;Casia#c15328;Casia#c14974;Casia#c11009;Casia#c13496;Casia#c5340;Casia#c8188;Casia#c5949;Casia#c8226;Casia#c11512;Casia#c4194;Casia#c11503;Casia#c6242;Casia#c10216;Casia#c9061;Casia#c12977;Casia#c11057;Casia#c10674;Casia#c9267;Casia#c9266;Casia#c9265;Casia#c10746;Casia#c8960;Casia#c12095;Casia#c5226;Casia#c12486;Casia#c9961;Casia#c14270;Casia#c12462;Casia#c10961;Casia#c10345;Casia#c9538;Casia#c11266;Casia#c6729;Casia#c6728;Casia#c13114;Casia#c10686;Casia#c15474;Casia#c11547;Casia#c10402;Casia#c10404;Casia#c10407;Casia#c10565;Casia#c6202;Casia#c14849;Casia#c14793;Casia#c5544;Casia#c13688;Casia#c10135;Casia#c9661;Casia#c15602;Casia#c12565;Casia#c15563;Casia#c5825;Casia#c5942;Casia#c7000;Casia#c10145;Casia#c10146;Casia#c9755;Casia#c13916;Casia#c12583;Casia#c11721;Casia#c12102;Casia#c12730;Casia#c8038;Casia#c9407;Casia#c11036;Casia#c3300;Casia#c12033;Casia#c12237;Casia#c6840;Casia#c10354;Casia#c10452;Casia#c11106;Casia#c7409;Casia#c11582;Casia#c10270;Casia#c11459;Casia#c11811;Casia#c11421;Casia#c10688;Casia#c6577;Casia#c5497;Casia#c9637;Casia#c12558;Casia#c5878;Casia#c12252;Casia#c12394;Casia#c13907;Casia#c12476;Casia#c10956;Casia#c15824;Casia#c6052;Casia#c11098;Casia#c10789;Casia#c10824;Casia#c15307;Casia#c14990;Casia#c13239;Casia#c7492;Casia#c14022;Casia#c14020;Casia#c14021;Casia#c13107;Casia#c11855;Casia#c13108;Casia#c11259;Casia#c10807;Casia#c11521;Casia#c10308;Casia#c10042;Casia#c12881;Casia#c12950;Casia#c12181;Casia#c8058;Casia#c12215;Casia#c10603;Casia#c5298;Casia#c13926;Casia#c10375;Casia#c11736;Casia#c12507;Casia#c9198;Casia#c11398;Casia#c11742;Casia#c10909;Casia#c9412;Casia#c15229;Casia#c12114;Casia#c11208;Casia#c11163;Casia#c7997;Casia#c10243;Casia#c13355;Casia#c14177;Casia#c7112;Casia#c7502;Casia#c11093;Casia#c10627;Casia#c9971;Casia#c8948;Casia#c13808;Casia#c14018;Casia#c12262;Casia#c12386
GO:1901576	organic substance biosynthetic process	230	1178	933	9817	8.201800966674032e-30	1.84764207231e-27	Casia#c12210;Casia#c13209;Casia#c8742;Casia#c12045;Casia#c13815;Casia#c14405;Casia#c10309;Casia#c15493;Casia#c10933;Casia#c10938;Casia#c8687;Casia#c6418;Casia#c11232;Casia#c14828;Casia#c9206;Casia#c11073;Casia#c13687;Casia#c11847;Casia#c14139;Casia#c7153;Casia#c11539;Casia#c4639;Casia#c6028;Casia#c5580;Casia#c5587;Casia#c7074;Casia#c10114;Casia#c12406;Casia#c9212;Casia#c5693;Casia#c10200;Casia#c13839;Casia#c6753;Casia#c11274;Casia#c15715;Casia#c12086;Casia#c8653;Casia#c13300;Casia#c11735;Casia#c10500;Casia#c12011;Casia#c10327;Casia#c6751;Casia#c15735;Casia#c10804;Casia#c10803;Casia#c10474;Casia#c5955;Casia#c9727;Casia#c11301;Casia#c15506;Casia#c15507;Casia#c10710;Casia#c5380;Casia#c9590;Casia#c9618;Casia#c9907;Casia#c7970;Casia#c13525;Casia#c15755;Casia#c15616;Casia#c13440;Casia#c15615;Casia#c14714;Casia#c14713;Casia#c1630;Casia#c10624;Casia#c13906;Casia#c9347;Casia#c5981;Casia#c13238;Casia#c14905;Casia#c12569;Casia#c11656;Casia#c9840;Casia#c15328;Casia#c10922;Casia#c14974;Casia#c11009;Casia#c13496;Casia#c5340;Casia#c8188;Casia#c5949;Casia#c8226;Casia#c11512;Casia#c4194;Casia#c11503;Casia#c6242;Casia#c10216;Casia#c9061;Casia#c12977;Casia#c11057;Casia#c10674;Casia#c9267;Casia#c9266;Casia#c9265;Casia#c10746;Casia#c11199;Casia#c8960;Casia#c12095;Casia#c5226;Casia#c12486;Casia#c13100;Casia#c9961;Casia#c14270;Casia#c12462;Casia#c10961;Casia#c10345;Casia#c9538;Casia#c11266;Casia#c6729;Casia#c6728;Casia#c13114;Casia#c5854;Casia#c10686;Casia#c15474;Casia#c11547;Casia#c10402;Casia#c10404;Casia#c10407;Casia#c10565;Casia#c6202;Casia#c14849;Casia#c9146;Casia#c14793;Casia#c5544;Casia#c13688;Casia#c10135;Casia#c9661;Casia#c9037;Casia#c15602;Casia#c12565;Casia#c15563;Casia#c5825;Casia#c5942;Casia#c7000;Casia#c10145;Casia#c10146;Casia#c9755;Casia#c13916;Casia#c12583;Casia#c11721;Casia#c12102;Casia#c12730;Casia#c6992;Casia#c8038;Casia#c9407;Casia#c11036;Casia#c3300;Casia#c12033;Casia#c12237;Casia#c6840;Casia#c10354;Casia#c10452;Casia#c11106;Casia#c7409;Casia#c11582;Casia#c10270;Casia#c11459;Casia#c11811;Casia#c11421;Casia#c10688;Casia#c6577;Casia#c5497;Casia#c9637;Casia#c12558;Casia#c5878;Casia#c12252;Casia#c12394;Casia#c13907;Casia#c12476;Casia#c10956;Casia#c13208;Casia#c15824;Casia#c6052;Casia#c11098;Casia#c10789;Casia#c10824;Casia#c15307;Casia#c14990;Casia#c13239;Casia#c7492;Casia#c14022;Casia#c14020;Casia#c14021;Casia#c13107;Casia#c11855;Casia#c13108;Casia#c11259;Casia#c10807;Casia#c11521;Casia#c10308;Casia#c10042;Casia#c12881;Casia#c12950;Casia#c12181;Casia#c8058;Casia#c12215;Casia#c10603;Casia#c5298;Casia#c13926;Casia#c10375;Casia#c11736;Casia#c12507;Casia#c9198;Casia#c11398;Casia#c11742;Casia#c10909;Casia#c9412;Casia#c11514;Casia#c15229;Casia#c15811;Casia#c12008;Casia#c12114;Casia#c11208;Casia#c11163;Casia#c7997;Casia#c13355;Casia#c14177;Casia#c7112;Casia#c7502;Casia#c11093;Casia#c10627;Casia#c9971;Casia#c8948;Casia#c13808;Casia#c13459;Casia#c14018;Casia#c12262;Casia#c12386
GO:0009058	biosynthetic process	241	1178	999	9817	1.1794710517957938e-29	2.43560772196e-27	Casia#c12210;Casia#c8700;Casia#c13209;Casia#c8742;Casia#c12045;Casia#c13815;Casia#c14405;Casia#c10309;Casia#c15493;Casia#c13341;Casia#c10933;Casia#c10938;Casia#c8687;Casia#c6418;Casia#c11232;Casia#c14828;Casia#c9206;Casia#c11073;Casia#c13687;Casia#c11847;Casia#c14139;Casia#c7153;Casia#c11539;Casia#c4639;Casia#c6028;Casia#c5580;Casia#c5587;Casia#c7074;Casia#c10114;Casia#c12406;Casia#c9212;Casia#c5693;Casia#c10200;Casia#c13839;Casia#c6753;Casia#c11274;Casia#c15715;Casia#c12086;Casia#c8653;Casia#c14188;Casia#c13300;Casia#c11735;Casia#c7850;Casia#c10500;Casia#c12011;Casia#c10327;Casia#c6751;Casia#c15735;Casia#c11884;Casia#c10804;Casia#c10803;Casia#c10474;Casia#c5955;Casia#c9727;Casia#c11301;Casia#c15506;Casia#c15507;Casia#c10710;Casia#c5385;Casia#c5380;Casia#c9590;Casia#c9618;Casia#c9907;Casia#c7970;Casia#c13525;Casia#c15755;Casia#c15616;Casia#c13440;Casia#c15615;Casia#c14714;Casia#c14713;Casia#c1630;Casia#c10624;Casia#c13906;Casia#c9347;Casia#c5981;Casia#c13238;Casia#c14905;Casia#c12569;Casia#c11656;Casia#c9840;Casia#c15328;Casia#c10922;Casia#c14974;Casia#c11009;Casia#c13496;Casia#c5340;Casia#c8188;Casia#c5949;Casia#c8226;Casia#c11512;Casia#c4194;Casia#c11503;Casia#c6242;Casia#c10216;Casia#c9061;Casia#c12977;Casia#c11057;Casia#c10674;Casia#c9267;Casia#c9266;Casia#c9265;Casia#c10746;Casia#c11199;Casia#c8960;Casia#c12095;Casia#c5226;Casia#c12486;Casia#c13100;Casia#c9961;Casia#c14270;Casia#c12462;Casia#c10961;Casia#c10345;Casia#c9538;Casia#c11266;Casia#c6729;Casia#c6728;Casia#c13114;Casia#c5854;Casia#c10686;Casia#c15474;Casia#c11547;Casia#c10402;Casia#c10404;Casia#c10407;Casia#c10565;Casia#c16069;Casia#c6202;Casia#c14849;Casia#c9146;Casia#c14793;Casia#c5544;Casia#c13688;Casia#c10135;Casia#c9661;Casia#c9037;Casia#c15602;Casia#c12565;Casia#c15563;Casia#c5825;Casia#c5942;Casia#c7000;Casia#c10145;Casia#c10146;Casia#c9755;Casia#c13916;Casia#c12583;Casia#c11721;Casia#c12102;Casia#c12730;Casia#c6992;Casia#c8038;Casia#c9407;Casia#c11036;Casia#c3300;Casia#c12033;Casia#c12030;Casia#c12237;Casia#c6840;Casia#c10354;Casia#c10452;Casia#c11106;Casia#c7409;Casia#c11582;Casia#c7197;Casia#c10270;Casia#c11459;Casia#c11811;Casia#c11421;Casia#c10688;Casia#c6577;Casia#c5497;Casia#c9637;Casia#c12558;Casia#c5878;Casia#c12252;Casia#c12394;Casia#c13907;Casia#c12476;Casia#c10956;Casia#c13208;Casia#c15824;Casia#c6052;Casia#c11098;Casia#c10789;Casia#c10824;Casia#c15307;Casia#c14990;Casia#c13239;Casia#c7492;Casia#c14022;Casia#c14020;Casia#c14021;Casia#c13107;Casia#c11855;Casia#c13108;Casia#c11259;Casia#c10807;Casia#c11521;Casia#c10308;Casia#c10042;Casia#c12881;Casia#c12950;Casia#c12181;Casia#c8058;Casia#c12215;Casia#c10603;Casia#c5298;Casia#c13926;Casia#c10375;Casia#c11736;Casia#c12507;Casia#c9198;Casia#c11398;Casia#c11742;Casia#c10909;Casia#c9412;Casia#c11514;Casia#c15229;Casia#c15811;Casia#c12008;Casia#c12114;Casia#c11208;Casia#c11163;Casia#c7997;Casia#c10243;Casia#c13355;Casia#c14177;Casia#c7112;Casia#c7502;Casia#c11093;Casia#c10627;Casia#c9971;Casia#c8948;Casia#c13808;Casia#c13459;Casia#c14018;Casia#c11034;Casia#c12262;Casia#c12386
